CAT_NAM,CUBE_NAM,CUBE_TYPE,CUBE_UID,CREATED_ON,LST_SCHEMA_UPD,SCHEMA_UPD_BY,LST_DATA_UPD,DATA_UPD_BY,DSCRPTN,%KEY,QUERY_CAT,QUERY_NAME,QUERY_UID,DESCRIPTION_QUERY,FIELD_TYPE_QUERY,SAP_SYSTEM
0SD_C03,REP_20160226120821,ACTIVE,00O2TK6X1ANP3UWIW2KQH38D1,,,,20160405120606,QVCUSER,SD_complete_structure,0SD_C03/REP_20160226120821,0SD_C03,REP_20160226120821,00O2TK6X1ANP3UWIW2KQH38D1,SD_complete_structure,QUERY,B7Q
0FIAR_C03,REP_20160412131425,ACTIVE,00O2TK6X1ANP6SXX7MKCRXC0L,,,,20160412131722,QVCUSER,MAH_SAPTRAINING,0FIAR_C03/REP_20160412131425,0FIAR_C03,REP_20160412131425,00O2TK6X1ANP6SXX7MKCRXC0L,MAH_SAPTRAINING,QUERY,B7Q
0SD_C03,REP_20160418112700,ACTIVE,00O2TK6X1ANP6TJ306KUXEZV9,,,,20160504125237,QVCUSER,SD_completeV2,0SD_C03/REP_20160418112700,0SD_C03,REP_20160418112700,00O2TK6X1ANP6TJ306KUXEZV9,SD_completeV2,QUERY,B7Q
ZBILLIT1,REP_201604181540,ACTIVE,00O2TK6X1ANP6TJF8W5GAZJ85,,,,20161013094349,QVCUSER,ZLIS_SalesV2,ZBILLIT1/REP_201604181540,ZBILLIT1,REP_201604181540,00O2TK6X1ANP6TJF8W5GAZJ85,ZLIS_SalesV2,QUERY,B7Q
0PA_MP01,REP_20160721104557,ACTIVE,00O2TK6X1ANP73IJFGR0ONCB9,,,,20160721104701,QVCUSER,REP_20160721104557,0PA_MP01/REP_20160721104557,0PA_MP01,REP_20160721104557,00O2TK6X1ANP73IJFGR0ONCB9,REP_20160721104557,QUERY,B7Q
0PCA_C01,REP_20160823141457,ACTIVE,00O2TK6X1ANP777OYO2PGAGID,,,,20160902064431,QVCUSER,REP_20160823141457,0PCA_C01/REP_20160823141457,0PCA_C01,REP_20160823141457,00O2TK6X1ANP777OYO2PGAGID,REP_20160823141457,QUERY,B7Q
0MAT_PLANT,REP_20160907100152,ACTIVE,00O2TK6X1ANP78TY1T5SVA1P1,,,,20160907105647,QVCUSER,REP_20160907100152,0MAT_PLANT/REP_20160907100152,0MAT_PLANT,REP_20160907100152,00O2TK6X1ANP78TY1T5SVA1P1,REP_20160907100152,QUERY,B7Q
0PCA_C01,MAHTEST1,ACTIVE,00O2TK6X1ANP78UDRE3216QS5,,,,20161010111816,QVCUSER,MAHTEST1,0PCA_C01/MAHTEST1,0PCA_C01,MAHTEST1,00O2TK6X1ANP78UDRE3216QS5,MAHTEST1,QUERY,B7Q
ZTD_CUBE2,REP_20160920085133,ACTIVE,00O2TK6X1ANP7A2QB5CXL08WL,,,,20160920085609,ICD,ICD_My Order Report,ZTD_CUBE2/REP_20160920085133,ZTD_CUBE2,REP_20160920085133,00O2TK6X1ANP7A2QB5CXL08WL,ICD_My Order Report,QUERY,B7Q
0PUR_C01,REP_20160920101843,ACTIVE,00O2TK6X1ANP7A2UG38W5E1W5,,,,20160920143557,ICD,ICD_Purchasing Analysis,0PUR_C01/REP_20160920101843,0PUR_C01,REP_20160920101843,00O2TK6X1ANP7A2UG38W5E1W5,ICD_Purchasing Analysis,QUERY,B7Q
0PUR_C04,REP_20160920105704,ACTIVE,00O2TK6X1ANP7A2W8HHTVD0D1,,,,20160920105836,ICD,ICD_Purchasing Groups,0PUR_C04/REP_20160920105704,0PUR_C04,REP_20160920105704,00O2TK6X1ANP7A2W8HHTVD0D1,ICD_Purchasing Groups,QUERY,B7Q
